EMPLID,EMPL_RCD,EFFDT,EFFSEQ,PER_ORG,DEPTID,JOBCODE,POSITION_NBR,SUPERVISOR_ID,HR_STATUS,APPT_TYPE,MAIN_APPT_NUM_JPN,POSITION_OVERRIDE,POSN_CHANGE_RECORD,EMPL_STATUS,ACTION,ACTION_DT,ACTION_REASON,LOCATION,TAX_LOCATION_CD,JOB_ENTRY_DT,DEPT_ENTRY_DT,POSITION_ENTRY_DT,SHIFT,REG_TEMP,FULL_PART_TIME,COMPANY,PAYGROUP,BAS_GROUP_ID,ELIG_CONFIG1,ELIG_CONFIG2,ELIG_CONFIG3,ELIG_CONFIG4,ELIG_CONFIG5,ELIG_CONFIG6,ELIG_CONFIG7,ELIG_CONFIG8,ELIG_CONFIG9,BEN_STATUS,BAS_ACTION,COBRA_ACTION,EMPL_TYPE,HOLIDAY_SCHEDULE,STD_HOURS,STD_HRS_FREQUENCY,OFFICER_CD,EMPL_CLASS,SAL_ADMIN_PLAN,GRADE,GRADE_ENTRY_DT,STEP,STEP_ENTRY_DT,GL_PAY_TYPE,ACCT_CD,EARNS_DIST_TYPE,COMP_FREQUENCY,COMPRATE,CHANGE_AMT,CHANGE_PCT,ANNUAL_RT,MONTHLY_RT,DAILY_RT,HOURLY_RT,ANNL_BENEF_BASE_RT,SHIFT_RT,SHIFT_FACTOR,CURRENCY_CD,BUSINESS_UNIT,SETID_DEPT,SETID_JOBCODE,SETID_LOCATION,SETID_SALARY,SETID_EMPL_CLASS,REG_REGION,DIRECTLY_TIPPED,FLSA_STATUS,EEO_CLASS,FUNCTION_CD,TARIFF_GER,TARIFF_AREA_GER,PERFORM_GROUP_GER,LABOR_TYPE_GER,SPK_COMM_ID_GER,HOURLY_RT_FRA,ACCDNT_CD_FRA,VALUE_1_FRA,VALUE_2_FRA,VALUE_3_FRA,VALUE_4_FRA,VALUE_5_FRA,CTG_RATE,PAID_HOURS,PAID_FTE,PAID_HRS_FREQUENCY,UNION_FULL_PART,UNION_POS,MATRICULA_NBR,SOC_SEC_RISK_CODE,UNION_FEE_AMOUNT,UNION_FEE_START_DT,UNION_FEE_END_DT,EXEMPT_JOB_LBR,EXEMPT_HOURS_MONTH,WRKS_CNCL_FUNCTION,INTERCTR_WRKS_CNCL,CURRENCY_CD1,PAY_UNION_FEE,UNION_CD,BARG_UNIT,UNION_SENIORITY_DT,ENTRY_DATE,LABOR_AGREEMENT,EMPL_CTG,EMPL_CTG_L1,EMPL_CTG_L2,SETID_LBR_AGRMNT,WPP_STOP_FLAG,LABOR_FACILITY_ID,LBR_FAC_ENTRY_DT,LAYOFF_EXEMPT_FLAG,LAYOFF_EXEMPT_RSN,GP_PAYGROUP,GP_DFLT_ELIG_GRP,GP_ELIG_GRP,GP_DFLT_CURRTTYP,CUR_RT_TYPE,GP_DFLT_EXRTDT,GP_ASOF_DT_EXG_RT,ADDS_TO_FTE_ACTUAL,CLASS_INDC,ENCUMB_OVERRIDE,FICA_STATUS_EE,FTE,PRORATE_CNT_AMT,PAY_SYSTEM_FLG,BORDER_WALKER,LUMP_SUM_PAY,CONTRACT_NUM,JOB_INDICATOR,WRKS_CNCL_ROLE_CHE,BENEFIT_SYSTEM,WORK_DAY_HOURS,REPORTS_TO,FORCE_PUBLISH,JOB_DATA_SRC_CD,ESTABID,SUPV_LVL_ID,SETID_SUPV_LVL,ABSENCE_SYSTEM_CD,POI_TYPE,HIRE_DT,LAST_HIRE_DT,TERMINATION_DT,ASGN_START_DT,LST_ASGN_START_DT,ASGN_END_DT,LDW_OVR,LAST_DATE_WORKED,EXPECTED_RETURN_DT,EXPECTED_END_DATE,AUTO_END_FLG,LASTUPDDTTM,LASTUPDOPRID
KF0001,0,6/1/1996,0,EMP,10200,250000, ,KF0001,A,0,0,N,N,A,PAY,7/19/2000,MER,KFPA01, ,1/1/1980,1/1/1980,,N,R,F,KF1, , , , , , , , , , , ,A, , ,S, ,39,W,N, ,KF01,001,1/1/1980,1,1/1/1980, , ,N,M,47520,1870,4.096,570240,47520,2193.231,281.183432,0,0,0,FRF,FRA01,FRA01,FRA01,FRA01,FRA01, ,FRA,N,N,N, , , , , , ,STA, , , , , , ,0,39,1,W, , ,0, ,0,,,N,0, , , ,N, , ,,1/1/1980,KF01,CADSUP, , ,FRA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N,0001,P, ,BN,0, ,, ,KF001, , ,OT, ,1/1/1980,1/1/1980,,1/1/1980,1/1/1980,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KD0001,0,1/1/2002,0,EMP,10200,350000, , ,A,0,0,N,N,A,DTA,9/2/2002, ,KD912, ,10/1/1999,10/1/1999,,N,R,F,KD1,KD1, , , , , , , , , , ,A, , ,S, ,40,W,N, ,KD01,G1,10/1/1999,1,10/1/1999, , ,N,M,5266.3076,0,0,63195.691,5266.308,243.06,30.382544,0,0,0,EUR,DEU01,DEU01,DEU01,DEU01,DEU01, ,DEU,N,N,N, ,01,M15, ,M,KD0000003, , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,DEM,N, , ,,10/1/1999,KD01,002, , ,DEU,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N, ,P, ,BN,0, ,, , , , ,OT, ,10/1/1999,10/1/1999,,10/1/1999,10/1/1999,,N,,,,N,5/5/2004 12:00:00.000000 AM,SAMPLE
K0LC02,0,1/1/1992,0,EMP,11000,330010,19000056, ,A,0,0,Y,N,A,HIR,9/24/2004, ,KCY01, ,1/1/1992,1/1/1992,1/1/1992,N,R,F,KCY, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,006,1/1/1992,0,, , ,N,M,8000,0,0,96000,8000,369.231,46.153846,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0L02MTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0,19000210,, , , , ,AM, ,1/1/1992,1/1/1992,,1/1/1992,1/1/1992,,N,,,,N,9/24/2004 7:44:04.000000 AM,SAMPLE
K1GVT001,0,1/1/2004,0,EMP,K1GDPA,830005, , ,A,0,0,N,N,A,HIR,8/5/2004, ,K1GLCCA, ,1/1/2004,1/1/2004,,N,R,F,K1G,K1A, , , , , , , , , , ,A, , ,N, ,40,W,N, , , ,,0,, , ,N,W,2307.69,0,0,119999.88,9999.99,461.538,57.69225,0,0,0,USD,K1GE,K1USA,K1USA,K1USA, , ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,K1GPG2,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, ,K1GETA, , ,AM, ,1/1/2004,1/1/2004,,1/1/2004,1/1/2004,,N,,,,N,8/9/2018 7:49:00.000000 PM,SAMPLE
KF0009,0,9/11/1996,0,EMP,13000,170000, ,KF0003,A,0,0,N,N,A,HIR,7/2/2000, ,KFPA01, ,9/11/1996,9/11/1996,,N,R,F,KF1, , , , , , , , , , , ,A, , ,S, ,39,W,N, ,KF01,003,9/11/1996,0,, , ,N,B,4615.384615,0,0,120000,10000,461.538,59.171598,0,0,0,FRF,FRA01,FRA01,FRA01,FRA01,FRA01, ,FRA,N,N,N, , , , , , ,STA, , , , , , ,0,39,1,W, , ,0, ,0,,,N,0, , , ,N, , ,,9/11/1996,KF01,ETAM, , ,FRA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N,0001,P, ,BN,0, ,, ,KF001, , ,OT, ,9/11/1996,9/11/1996,,9/11/1996,9/11/1996,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KFLE07,0,1/1/2001,0,EMP,13000,310015, ,KF0003,A,0,0,N,N,A,HIR,10/3/2004, ,KFPA01, ,1/1/2001,1/1/2001,,N,R,F,KF1, , , , , , , , , , , ,A, , ,N,KF01,35,W,N, ,KF01,001,1/1/2001,2,1/1/2001, , ,N,B,811.052226,0,0,21087.358,1757.28,81.105,11.58646,0,0,0,USD,FRA01,FRA01,FRA01,FRA01,FRA01, ,FRA,N,N,N, , , , , , , , , , , , , ,0,35,1,W, , ,0, ,0,,,N,0, , ,USD,N, , ,,,KF01,CADSUP, , ,FRA,N, ,,N, ,KFL01,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N,0001,P, ,OT,0, ,, ,KF001, , ,AM, ,1/1/2001,1/1/2001,,1/1/2001,1/1/2001,,N,,,,N,10/3/2004 10:13:08.000000 PM,SAMPLE
KD0005,0,12/1/1999,0,EMP,21600,310000, ,KD0001,A,0,0,N,N,A,HIR,8/3/2000, ,KD912, ,12/1/1999,12/1/1999,,N,R,F,KD1,KD1, , , , , , , , , , ,A, , ,S, ,40,W,N, ,KD01,G3,12/1/1999,1,12/1/1999, , ,N,M,4120,0,0,49440,4120,190.154,23.769231,0,0,0,DEM,DEU01,DEU01,DEU01,DEU01,DEU01, ,DEU,N,N,N, ,01,M15, , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , , ,N, , ,,8/3/2000,KD01,001, , ,DEU,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N, ,P, ,BN,0, ,, , , , ,OT, ,12/1/1999,12/1/1999,,12/1/1999,12/1/1999,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
K0G012,0,1/1/2000,0,EMP,20000,770045, , ,A,0,0,N,N,A,PAY,8/7/2001, ,KUNY00, ,5/1/1998,5/1/1998,,N,R,F,GBI, , , , , , , , , , , ,A, , , , ,40,W,N, ,K0G2, ,,0,, , ,N,M,3000,153.333333,5.386,36000,3000,138.462,17.307692,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N, ,1,N,OT,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,5/1/1998,5/1/1998,,5/1/1998,5/1/1998,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
K0W310,0,1/1/2005,0,EMP,27000,140030, ,K0W306,A,0,0,N,N,A,HIR,2/28/2006, ,KUOK00, ,1/1/2005,1/1/2005,,N,R,F,GBI, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,004,1/1/2005,0,, , ,N,S,1500,0,0,36000,3000,138.462,17.307692,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,K0WPG GP1,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, ,KU001, , ,AM, ,1/1/2005,1/1/2005,,1/1/2005,1/1/2005,,N,,,,N,2/28/2006 6:53:01.000000 PM,SAMPLE
K0MTK003,0,1/1/2003,0,EMP,21200,310005, , ,A,0,0,N,N,A,HIR,4/2/2003, ,KUCA00,KUCA00,1/1/2003,1/1/2003,,N,R,F,GBI,KUX, , , , , , , , , , ,A, , ,H,KU01,40,W,N, ,KU01,003,1/1/2003,0,, , ,N,M,3600,0,0,43200,3600,166.154,20.769231,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, , , , ,OT, ,1/1/2003,1/1/2003,,1/1/2003,1/1/2003,,N,,,,N,8/8/2006 10:09:47.000000 PM,SAMPLE
